val/loss,val/acc,val/acc_best,epoch,step,train/loss,train/acc
1.2166025638580322,0.8234000205993652,0.8234000205993652,0,54,,
,,,0,54,1.8424569368362427,0.43483635783195496
0.6106955409049988,0.9326000213623047,0.9326000213623047,1,109,,
,,,1,109,1.071036458015442,0.8145818114280701
0.3302055895328522,0.9562000036239624,0.9562000036239624,2,164,,
,,,2,164,0.614761233329773,0.9014909267425537
0.19721511006355286,0.968999981880188,0.968999981880188,3,219,,
,,,3,219,0.38959673047065735,0.9365454316139221
0.14074376225471497,0.9733999967575073,0.9733999967575073,4,274,,
,,,4,274,0.27660536766052246,0.9524727463722229
1.3601500988006592,0.8303999900817871,0.8303999900817871,0,54,,
,,,0,54,1.8902415037155151,0.5050727128982544
0.6210250854492188,0.9437999725341797,0.9437999725341797,1,109,,
,,,1,109,1.1253682374954224,0.8256000280380249
0.3082292973995209,0.9581999778747559,0.9581999778747559,2,164,,
,,,2,164,0.5975372195243835,0.9107090830802917
0.19340844452381134,0.9679999947547913,0.9679999947547913,3,219,,
,,,3,219,0.3642299771308899,0.9392181634902954
0.1376917064189911,0.9747999906539917,0.9747999906539917,4,274,,
,,,4,274,0.25817084312438965,0.9503999948501587
